PersonId,NumOrgs,NumPrivateOrgs,NumProjects,TotalMoney,PrivateMoney
001E6C72-6FA5-411A-A960-8A979A1B3987,3,1.494570679733,1,0.6807326E5,33913.43282328041
0021D278-8444-45F9-AD8C-961EA17924A9,9,4.985642699552,4,0.17408012802E7,242416.67219362894
00232F8E-D4BC-4E35-A536-B95D41F86183,4,2.2719750201160003,5,0.1802653564E7,202464.52714859587
0029096A-39FA-4312-B6F5-D478B13CFC01,4,2.359273881232,1,0.1133771E5,6687.190768995715
002A0B26-C5DC-4B6D-9E8B-A3518F1D12F2,7,3.3914866893899998,3,0.117674378E7,227718.81693594495
002BF69A-6F2F-4EA8-8338-A09947E8208B,5,2.596272543432,1,0.25681176E6,133350.6642636897
002D9BCD-91F0-47EF-825F-D77DADF12D20,2,0.795374775333,1,0.3567392E5,14187.068052623708
002E8E3A-64BB-493A-AFFD-9123ED0FFF68,2,0.41856633222500006,1,0.282054034E6,59029.16125032273
002FC006-2518-458A-AB1F-FF4586FFE8D7,56,23.406526809259997,8,0.7971108058E7,649049.0767793931
00309F70-E791-470D-B156-9F8BB231088B,2,0.666354182181,1,0.27860416E6,92824.52359451223
0030BF0C-92A6-483D-9A50-75D996067798,2,0.7923970476890001,1,0.71620068E6,283757.6521924272
0031BE50-A826-4731-A6ED-89E92AB05FF1,5,2.454519824699,2,0.3689057798E7,1233120.378997137
00320C52-8793-4F58-948D-40B23F318552,10,4.639508545028,4,0.2854394E6,43164.00014872463
003380D5-AFCB-4E19-BF71-9145F0603795,3,1.395590387003,1,0.1218282E6,56674.08826195963
00339880-9E1B-4DE9-BB5D-D90C7B412C10,5,2.3885165937740003,1,0.45596663E6,217816.77239244198
0033F3AB-90B8-47C5-AD28-BB12F4BC6D5B,7,3.9152087319710005,3,0.12759916E6,34109.28666392215
0035C6A9-20F2-4656-A1EA-977FE137C08D,2,0.775590387003,1,0.3729006E6,144609.06033382544
0039D5C8-6555-40E9-B895-3EB7CFFC42AD,2,0.693378229934,1,0.1139225366E7,394957.0338864966
003D910A-7D8A-40D3-A159-69508FC07E82,5,2.296889751854,2,0.462961632E6,99466.88675619877
003F0A38-532F-42A7-989E-3383CB2738A3,2,0.874570679733,1,0.1525E5,6668.601432964125
0041D7A6-04A4-48AB-AE8F-9E33182759BB,2,0.536899418278,1,0.19272E5,5173.562794526808
00431A54-BA65-474A-9862-E35F036C3F1B,2,0.41856633222500006,1,0.51865088E5,10854.489827343432
00478313-14DC-4B3C-949F-514D51BA57D2,2,1.0194243782699999,1,0.6256E4,3188.7594552285595
00495E1E-A803-45BC-9EE6-52B721788DC4,2,0.47465973070300005,1,0.15167287E6,35996.50181457557
00497B9A-69A7-4467-AE00-6A5A9AEE0178,1,0.947328182049,1,0.74418E5,70498.26865172248
004B8D54-FC5D-46F5-974A-77022376EBAB,2,0.867907813427,5,0.1584044248E7,137480.43796532968
004C6704-9108-4EAE-9088-66240ED046ED,2,0.62860520174,1,0.31079912E5,9768.497176410723
004F6989-8A43-4207-A982-11A4FF1F40FC,3,1.124822629284,2,0.700386402E6,111301.890831497
004FEAA6-C567-4A61-A878-F6BD534125C9,2,0.877586932402,1,0.32206918E6,141321.8518487138
00500CF2-BC27-44BF-B441-5E5A6308F5D6,3,1.472338060548,3,0.61839895E6,126441.83379157806
005019CC-C854-4EA6-A716-6FA1F61908B4,4,1.530997809904,2,0.1358663406E7,269873.86383345077
005217C7-CBD3-44AD-9F35-6949D9804F4A,4,2.2403239988830004,2,0.1751869E7,484693.6586458176
0055EAD3-93C9-4686-86B9-180356653BAA,2,1.061873413998,1,0.191633E6,101744.99397233936
00596E45-054E-443E-A4E5-D3FCACA204B2,2,1.061873413998,1,0.190083E6,100922.0420764909
005C3EAF-08B8-4C9B-A13A-E12925A53D87,2,0.719447607919,1,0.7307026E5,26285.111883509693
005C5D1F-F576-4CD0-9B3E-1AD643DDA46E,3,1.4839991439100002,2,0.690136717E7,1661112.046762416
005C6537-889D-4353-89DC-B8B3E39533F5,3,0.8035255890870001,2,0.1209573E6,16198.714289478834
005D02FB-974C-4086-B342-10811BE7E5E9,2,0.775590387003,2,0.6901352E5,13381.555671309821
005E9ABD-1AF5-4AF6-AE33-716B8DCB726E,22,13.611842638915997,8,0.4334286274E7,753440.7430465491
005FE4F3-2D62-4AFC-A280-39B3810A7BFF,2,0.867907813427,1,0.39765628E6,172564.49623515745
0060D1DD-EDD3-4F65-8588-60FB2994986B,2,0.79379492847,1,0.11605395E6,46061.51846945548
0061A521-89D0-41A2-AD15-D1846B04F71E,2,1.061873413998,1,0.540903E6,287185.25762588007
006A16E7-8253-41B8-BFB4-970FE4E2747B,2,0.581885942438,1,0.8152906E5,23720.30695709212
006B8847-99FC-4A89-9135-62A3C08BC259,1,0.155590387003,2,0.71325E5,5548.742176494488
006E9D3E-74F7-49E0-B73A-7A2A02FBE82B,6,2.880940723882,1,0.6194212E5,29741.92933859762
00704860-C25C-4E12-A984-D47618C3CEA6,7,2.53163546689,2,0.1060338518E7,189873.3982271791
00715161-D01A-4131-AA7A-713D4B8F0395,5,2.048190333716,4,0.10785375E7,91297.03987321528
007224FC-7455-4D04-8041-507B576A7C1E,2,0.713094781408,1,0.29353E5,10465.735559334511
00760713-E179-4503-841A-42741CA056A1,3,1.8599999999999999,1,0.295989928E6,183513.75535999998
0076C138-425D-442F-B115-BE26219F8A62,1,0.947328182049,1,0.25E6,236832.04551225
007A06F9-DB58-48C5-B657-57A1435CCB00,6,3.40203914819,1,0.10011783E6,56767.46284863854
007AF8DD-654E-42F8-A2CF-345E3D58B0D2,12,4.897584208661,2,0.3180957E7,1057150.7952456812
007D1EE0-41E5-48CB-95CE-046CF84106AB,2,0.654864268235,1,0.96821234E5,31702.38327650985
0080C42B-8430-476D-BCBB-961EB795092B,1,0.947328182049,1,0.234581E6,222225.1922732365
0080CEAB-45AD-4A3F-B6DC-9221FA92271E,15,4.705365556708999,10,0.5040173318E7,393267.494469801
008161F8-ACB9-42CB-96F9-9B9BD4615671,2,0.43796408864900005,2,0.18351296E6,20093.0215704201
0086A5E7-6596-45C5-A38F-00FCC52983BA,2,1.24,1,0.16E4,992.0
008B8DD8-6751-41D3-9357-961C3055E398,3,1.241109463743,3,0.4361158578E6,73675.01168565989
008B9A44-8603-4210-A985-F4C7D908A46B,2,0.775590387003,1,0.259815E6,100755.00819959222
008BD4DB-D61B-4A85-B3CB-9D9AC0B990DC,7,3.717537372586,3,0.853865712E6,281224.83506849705
00908E7A-7390-4DBC-831D-B2DFA36F3E13,2,0.7733612708419999,1,0.652412454E6,252275.26226929392
0092EE7C-1FAD-484B-B8C8-7583CAB9AF7A,8,3.262679214193,5,0.2387368912E7,348030.4309620931
00940FDD-EB46-40A9-A955-EAAA61CC3748,8,4.260125250636,3,0.3131880562E7,679290.0326848926
009457C6-4B08-4E58-8366-81C7C3399179,4,1.499604203097,4,0.258391627E7,247463.5074574573
0094DE68-40EF-4000-A829-61E839C4B14A,1,0.947328182049,1,0.2475E5,23446.372505712752
00969278-DC10-4DB4-AD75-EC2AC265D6DD,2,0.573640023433,1,0.5643771E5,16187.46464345243
0096AE2B-0BEB-4ECE-8ADB-583B173A13A4,25,15.997492149310997,1,0.344460496E7,2204201.6322031086
0097387A-48C8-482E-A9A3-55FE35067BE9,3,1.680591664981,1,0.16466227E6,92243.34616628365
0097D870-1341-40C3-BEE8-B2F2FBB504B4,2,0.690864585831,1,0.8527318E5,29456.110091596154
0098060C-0B93-4FDA-B29B-551D10056164,20,8.005133355281002,5,0.885605329E7,812661.1264400273
0099766A-5103-4394-BD0F-AC8C256B09F8,2,0.960210870983,1,0.47227023E6,226739.50444382086
009A4522-D40A-403A-B286-92024568AE69,2,0.781271408218,1,0.31843365E7,1243915.5307974888
009B760E-8E39-4314-A2E3-8E753183554D,2,0.62860520174,1,0.8846934E5,27806.143659252324
00A01A8A-A54C-4085-B775-516365C79273,2,0.9315775824670001,1,0.1201544E6,55966.57273738645
00A32ACF-1FD2-432A-8E0B-9156B6A29630,2,1.08551907674,1,0.364988767E7,1981011.3468715549
00A3DFF3-D8BC-43E8-9722-1F6ABC2C83E3,2,0.9012993648509999,1,0.30944311E6,139450.43925025905
00A4A860-0C12-4797-ADB6-D808392AB793,8,3.756235670881,5,0.115787276E7,112527.31057942053
00A8281F-B9B9-4A22-AB26-746AC4E07912,9,3.815005671529,7,0.10512996362E8,655688.4693335011
00A8B75F-FE47-4233-BF92-80F0D13BC949,2,0.693378229934,1,0.1331378E5,4615.742605065346
00A98147-C912-42A5-821D-FC9CDF73E3F9,10,3.2728022723290002,1,0.147540608E7,482871.23712320224
00A99B72-EDB7-4698-BF13-DBD766CF3D07,2,0.874570679733,1,0.369925516E6,161763.0049893504
00AC06CD-D476-4473-B1EF-95F0C0599820,2,0.795374775333,1,0.999934E4,3976.6114029891405
00AE0577-91EE-4819-AD69-EBF1045A5AFC,6,2.097573818677,3,0.9123555E5,9882.25072099001
00AF23A3-D8C7-4899-B9B7-99F50F11A922,2,0.49745501861999997,1,0.170392676E6,42381.34590614581
00AFAAB8-C82F-478A-BD46-D96D92456A3E,2,0.8829759452220001,1,0.1756329E5,7753.981294479051
00B06E9A-8DA5-427D-8B75-BC66D47987FF,2,0.775590387003,1,0.213955148E7,829707.7801930207
00B0B22B-28EC-413F-B6CD-9F5B8B6DD46A,1,0.62,1,0.58423E5,36222.26
